Date,Year,Month number,Crime Type,Offence category,Offence type,Reporting Region,Location,Location Type,Population (ABS 2021 reference),Alcohol involvement,DV involvement,Data era,Source extract,is_break_month,Break note,Number of offences
2008-01,2008,1,Assault & Violence,Acts intended to cause Injury,Assault,Alice Springs,Alice Springs,Regional,,No,No,Historical / PROMIS,March 2024 historical extract,False,,15
2008-01,2008,1,Assault & Violence,Acts intended to cause Injury,Assault,Alice Springs,Alice Springs,Regional,,No,Yes,Historical / PROMIS,March 2024 historical extract,False,,9
2008-01,2008,1,Assault & Violence,Acts intended to cause Injury,Assault,Alice Springs,Alice Springs,Regional,,Yes,No,Historical / PROMIS,March 2024 historical extract,False,,16
2008-01,2008,1,Assault & Violence,Acts intended to cause Injury,Assault,Alice Springs,Alice Springs,Regional,,Yes,Yes,Historical / PROMIS,March 2024 historical extract,False,,53
2008-01,2008,1,Commercial B&E,Commercial break-ins,Commercial break-ins actual,Alice Springs,Alice Springs,Regional,,-,-,Historical / PROMIS,March 2024 historical extract,False,,31
2008-01,2008,1,Commercial B&E,Commercial break-ins,Commercial break-ins attempted,Alice Springs,Alice Springs,Regional,,-,-,Historical / PROMIS,March 2024 historical extract,False,,1
2008-01,2008,1,General Theft,Motor vehicle theft and related offences,Illegal use of a motor vehicle,Alice Springs,Alice Springs,Regional,,-,-,Historical / PROMIS,March 2024 historical extract,False,,9
2008-01,2008,1,General Theft,Theft and related offences (other than MV),Theft and related offences (other than MV),Alice Springs,Alice Springs,Regional,,-,-,Historical / PROMIS,March 2024 historical extract,False,,91
2008-01,2008,1,General Theft,Motor vehicle theft and related offences,Theft of motor vehicle parts or contents,Alice Springs,Alice Springs,Regional,,-,-,Historical / PROMIS,March 2024 historical extract,False,,14
2008-01,2008,1,Harassment & Threats,Abduction - harassment and other offences against the person,Deprivation of liberty /false imprisonment,Alice Springs,Alice Springs,Regional,,-,-,Historical / PROMIS,March 2024 historical extract,False,,1
2008-01,2008,1,Harassment & Threats,Other dangerous or negligent acts endangering persons,Other dangerous or negligent acts endangering persons,Alice Springs,Alice Springs,Regional,,-,-,Historical / PROMIS,March 2024 historical extract,False,,2
2008-01,2008,1,Harassment & Threats,Abduction - harassment and other offences against the person,Threatening behaviour,Alice Springs,Alice Springs,Regional,,-,-,Historical / PROMIS,March 2024 historical extract,False,,4
2008-01,2008,1,Property Damage,Property Damage Offences,Property damage offences,Alice Springs,Alice Springs,Regional,,-,-,Historical / PROMIS,March 2024 historical extract,False,,136
2008-01,2008,1,Residential B&E,House break-ins,House break-ins actual,Alice Springs,Alice Springs,Regional,,-,-,Historical / PROMIS,March 2024 historical extract,False,,26
2008-01,2008,1,Robbery & Extortion,Robbery - extortion and related offences,Robbery,Alice Springs,Alice Springs,Regional,,-,-,Historical / PROMIS,March 2024 historical extract,False,,1
2008-01,2008,1,Sexual Offences,Sexual assault and related offences,Sexual assault,Alice Springs,Alice Springs,Regional,,-,-,Historical / PROMIS,March 2024 historical extract,False,,9
2008-01,2008,1,Assault & Violence,Acts intended to cause Injury,Assault,NT Balance,Alligator,Remote,,No,Yes,Historical / PROMIS,March 2024 historical extract,False,,1
2008-01,2008,1,Assault & Violence,Acts intended to cause Injury,Assault,NT Balance,Alligator,Remote,,Yes,No,Historical / PROMIS,March 2024 historical extract,False,,3
2008-01,2008,1,Assault & Violence,Acts intended to cause Injury,Assault,NT Balance,Alligator,Remote,,Yes,Yes,Historical / PROMIS,March 2024 historical extract,False,,5
2008-01,2008,1,Commercial B&E,Commercial break-ins,Commercial break-ins actual,NT Balance,Alligator,Remote,,-,-,Historical / PROMIS,March 2024 historical extract,False,,3
2008-01,2008,1,General Theft,Theft and related offences (other than MV),Theft and related offences (other than MV),NT Balance,Alligator,Remote,,-,-,Historical / PROMIS,March 2024 historical extract,False,,7
2008-01,2008,1,General Theft,Motor vehicle theft and related offences,Theft of motor vehicle parts or contents,NT Balance,Alligator,Remote,,-,-,Historical / PROMIS,March 2024 historical extract,False,,2
2008-01,2008,1,Harassment & Threats,Abduction - harassment and other offences against the person,Deprivation of liberty /false imprisonment,NT Balance,Alligator,Remote,,-,-,Historical / PROMIS,March 2024 historical extract,False,,1
2008-01,2008,1,Harassment & Threats,Abduction - harassment and other offences against the person,Harassment and private nuisance,NT Balance,Alligator,Remote,,-,-,Historical / PROMIS,March 2024 historical extract,False,,2
2008-01,2008,1,Harassment & Threats,Abduction - harassment and other offences against the person,Threatening behaviour,NT Balance,Alligator,Remote,,-,-,Historical / PROMIS,March 2024 historical extract,False,,1
2008-01,2008,1,Property Damage,Property Damage Offences,Property damage offences,NT Balance,Alligator,Remote,,-,-,Historical / PROMIS,March 2024 historical extract,False,,6
2008-01,2008,1,Residential B&E,House break-ins,House break-ins actual,NT Balance,Alligator,Remote,,-,-,Historical / PROMIS,March 2024 historical extract,False,,5
2008-01,2008,1,Sexual Offences,Sexual assault and related offences,Non-assaultive sexual offences,NT Balance,Alligator,Remote,,-,-,Historical / PROMIS,March 2024 historical extract,False,,1
2008-01,2008,1,Sexual Offences,Sexual assault and related offences,Sexual assault,NT Balance,Alligator,Remote,,-,-,Historical / PROMIS,March 2024 historical extract,False,,2
2008-01,2008,1,Assault & Violence,Acts intended to cause Injury,Assault,NT Balance,Anindilyakwa,Remote,,No,Yes,Historical / PROMIS,March 2024 historical extract,False,,4
2008-01,2008,1,Assault & Violence,Acts intended to cause Injury,Assault,NT Balance,Anindilyakwa,Remote,,Yes,No,Historical / PROMIS,March 2024 historical extract,False,,2
2008-01,2008,1,Commercial B&E,Commercial break-ins,Commercial break-ins actual,NT Balance,Anindilyakwa,Remote,,-,-,Historical / PROMIS,March 2024 historical extract,False,,1
2008-01,2008,1,General Theft,Theft and related offences (other than MV),Theft and related offences (other than MV),NT Balance,Anindilyakwa,Remote,,-,-,Historical / PROMIS,March 2024 historical extract,False,,6
2008-01,2008,1,General Theft,Motor vehicle theft and related offences,Theft of motor vehicle parts or contents,NT Balance,Anindilyakwa,Remote,,-,-,Historical / PROMIS,March 2024 historical extract,False,,1
2008-01,2008,1,Property Damage,Property Damage Offences,Property damage offences,NT Balance,Anindilyakwa,Remote,,-,-,Historical / PROMIS,March 2024 historical extract,False,,5
2008-01,2008,1,Assault & Violence,Acts intended to cause Injury,Assault,NT Balance,Barkly,Remote,,No,Yes,Historical / PROMIS,March 2024 historical extract,False,,1
2008-01,2008,1,Assault & Violence,Acts intended to cause Injury,Assault,NT Balance,Barkly,Remote,,Yes,No,Historical / PROMIS,March 2024 historical extract,False,,1
2008-01,2008,1,Assault & Violence,Acts intended to cause Injury,Assault,NT Balance,Barkly,Remote,,Yes,Yes,Historical / PROMIS,March 2024 historical extract,False,,2
2008-01,2008,1,Commercial B&E,Commercial break-ins,Commercial break-ins actual,NT Balance,Barkly,Remote,,-,-,Historical / PROMIS,March 2024 historical extract,False,,4
2008-01,2008,1,General Theft,Motor vehicle theft and related offences,Illegal use of a motor vehicle,NT Balance,Barkly,Remote,,-,-,Historical / PROMIS,March 2024 historical extract,False,,1
2008-01,2008,1,General Theft,Theft and related offences (other than MV),Theft and related offences (other than MV),NT Balance,Barkly,Remote,,-,-,Historical / PROMIS,March 2024 historical extract,False,,3
2008-01,2008,1,General Theft,Motor vehicle theft and related offences,Theft of motor vehicle parts or contents,NT Balance,Barkly,Remote,,-,-,Historical / PROMIS,March 2024 historical extract,False,,1
2008-01,2008,1,Harassment & Threats,Abduction - harassment and other offences against the person,Threatening behaviour,NT Balance,Barkly,Remote,,-,-,Historical / PROMIS,March 2024 historical extract,False,,1
2008-01,2008,1,Property Damage,Property Damage Offences,Property damage offences,NT Balance,Barkly,Remote,,-,-,Historical / PROMIS,March 2024 historical extract,False,,3
2008-01,2008,1,Sexual Offences,Sexual assault and related offences,Sexual assault,NT Balance,Barkly,Remote,,-,-,Historical / PROMIS,March 2024 historical extract,False,,1
2008-01,2008,1,Assault & Violence,Acts intended to cause Injury,Assault,NT Balance,Daly,Remote,,No,Yes,Historical / PROMIS,March 2024 historical extract,False,,1
2008-01,2008,1,Assault & Violence,Acts intended to cause Injury,Assault,NT Balance,Daly,Remote,,Yes,Yes,Historical / PROMIS,March 2024 historical extract,False,,3
2008-01,2008,1,Commercial B&E,Commercial break-ins,Commercial break-ins actual,NT Balance,Daly,Remote,,-,-,Historical / PROMIS,March 2024 historical extract,False,,1
2008-01,2008,1,General Theft,Motor vehicle theft and related offences,Illegal use of a motor vehicle,NT Balance,Daly,Remote,,-,-,Historical / PROMIS,March 2024 historical extract,False,,1
2008-01,2008,1,General Theft,Theft and related offences (other than MV),Theft and related offences (other than MV),NT Balance,Daly,Remote,,-,-,Historical / PROMIS,March 2024 historical extract,False,,3
2008-01,2008,1,Harassment & Threats,Abduction - harassment and other offences against the person,Harassment and private nuisance,NT Balance,Daly,Remote,,-,-,Historical / PROMIS,March 2024 historical extract,False,,1
2008-01,2008,1,Property Damage,Property Damage Offences,Property damage offences,NT Balance,Daly,Remote,,-,-,Historical / PROMIS,March 2024 historical extract,False,,2
2008-01,2008,1,Residential B&E,House break-ins,House break-ins actual,NT Balance,Daly,Remote,,-,-,Historical / PROMIS,March 2024 historical extract,False,,2
2008-01,2008,1,Assault & Violence,Acts intended to cause Injury,Assault,Darwin,Darwin,Urban,,No,No,Historical / PROMIS,March 2024 historical extract,False,,32
2008-01,2008,1,Assault & Violence,Acts intended to cause Injury,Assault,Darwin,Darwin,Urban,,No,Yes,Historical / PROMIS,March 2024 historical extract,False,,15
2008-01,2008,1,Assault & Violence,Acts intended to cause Injury,Assault,Darwin,Darwin,Urban,,Yes,No,Historical / PROMIS,March 2024 historical extract,False,,35
2008-01,2008,1,Assault & Violence,Acts intended to cause Injury,Assault,Darwin,Darwin,Urban,,Yes,Yes,Historical / PROMIS,March 2024 historical extract,False,,12
2008-01,2008,1,Assault & Violence,Acts intended to cause Injury,Other acts intended to cause injury,Darwin,Darwin,Urban,,-,-,Historical / PROMIS,March 2024 historical extract,False,,2
2008-01,2008,1,Commercial B&E,Commercial break-ins,Commercial break-ins actual,Darwin,Darwin,Urban,,-,-,Historical / PROMIS,March 2024 historical extract,False,,67
2008-01,2008,1,Commercial B&E,Commercial break-ins,Commercial break-ins attempted,Darwin,Darwin,Urban,,-,-,Historical / PROMIS,March 2024 historical extract,False,,11
2008-01,2008,1,General Theft,Motor vehicle theft and related offences,Illegal use of a motor vehicle,Darwin,Darwin,Urban,,-,-,Historical / PROMIS,March 2024 historical extract,False,,28
2008-01,2008,1,General Theft,Theft and related offences (other than MV),Theft and related offences (other than MV),Darwin,Darwin,Urban,,-,-,Historical / PROMIS,March 2024 historical extract,False,,298
2008-01,2008,1,General Theft,Motor vehicle theft and related offences,Theft of motor vehicle parts or contents,Darwin,Darwin,Urban,,-,-,Historical / PROMIS,March 2024 historical extract,False,,40
2008-01,2008,1,Harassment & Threats,Abduction - harassment and other offences against the person,Threatening behaviour,Darwin,Darwin,Urban,,-,-,Historical / PROMIS,March 2024 historical extract,False,,2
2008-01,2008,1,Property Damage,Property Damage Offences,Property damage offences,Darwin,Darwin,Urban,,-,-,Historical / PROMIS,March 2024 historical extract,False,,340
2008-01,2008,1,Residential B&E,House break-ins,House break-ins actual,Darwin,Darwin,Urban,,-,-,Historical / PROMIS,March 2024 historical extract,False,,62
2008-01,2008,1,Residential B&E,House break-ins,House break-ins attempted,Darwin,Darwin,Urban,,-,-,Historical / PROMIS,March 2024 historical extract,False,,9
2008-01,2008,1,Robbery & Extortion,Robbery - extortion and related offences,Robbery,Darwin,Darwin,Urban,,-,-,Historical / PROMIS,March 2024 historical extract,False,,2
2008-01,2008,1,Sexual Offences,Sexual assault and related offences,Non-assaultive sexual offences,Darwin,Darwin,Urban,,-,-,Historical / PROMIS,March 2024 historical extract,False,,1
2008-01,2008,1,Sexual Offences,Sexual assault and related offences,Sexual assault,Darwin,Darwin,Urban,,-,-,Historical / PROMIS,March 2024 historical extract,False,,14
2008-01,2008,1,Assault & Violence,Acts intended to cause Injury,Assault,NT Balance,East Arnhem,Remote,,No,No,Historical / PROMIS,March 2024 historical extract,False,,3
2008-01,2008,1,Assault & Violence,Acts intended to cause Injury,Assault,NT Balance,East Arnhem,Remote,,No,Yes,Historical / PROMIS,March 2024 historical extract,False,,2
2008-01,2008,1,Assault & Violence,Acts intended to cause Injury,Assault,NT Balance,East Arnhem,Remote,,Yes,Yes,Historical / PROMIS,March 2024 historical extract,False,,1
2008-01,2008,1,Commercial B&E,Commercial break-ins,Commercial break-ins actual,NT Balance,East Arnhem,Remote,,-,-,Historical / PROMIS,March 2024 historical extract,False,,2
2008-01,2008,1,Commercial B&E,Commercial break-ins,Commercial break-ins attempted,NT Balance,East Arnhem,Remote,,-,-,Historical / PROMIS,March 2024 historical extract,False,,1
2008-01,2008,1,General Theft,Motor vehicle theft and related offences,Illegal use of a motor vehicle,NT Balance,East Arnhem,Remote,,-,-,Historical / PROMIS,March 2024 historical extract,False,,1
2008-01,2008,1,General Theft,Theft and related offences (other than MV),Theft and related offences (other than MV),NT Balance,East Arnhem,Remote,,-,-,Historical / PROMIS,March 2024 historical extract,False,,8
2008-01,2008,1,General Theft,Motor vehicle theft and related offences,Theft of motor vehicle parts or contents,NT Balance,East Arnhem,Remote,,-,-,Historical / PROMIS,March 2024 historical extract,False,,1
2008-01,2008,1,Property Damage,Property Damage Offences,Property damage offences,NT Balance,East Arnhem,Remote,,-,-,Historical / PROMIS,March 2024 historical extract,False,,7
2008-01,2008,1,Residential B&E,House break-ins,House break-ins actual,NT Balance,East Arnhem,Remote,,-,-,Historical / PROMIS,March 2024 historical extract,False,,4
2008-01,2008,1,Residential B&E,House break-ins,House break-ins attempted,NT Balance,East Arnhem,Remote,,-,-,Historical / PROMIS,March 2024 historical extract,False,,1
2008-01,2008,1,Sexual Offences,Sexual assault and related offences,Sexual assault,NT Balance,East Arnhem,Remote,,-,-,Historical / PROMIS,March 2024 historical extract,False,,1
2008-01,2008,1,Assault & Violence,Acts intended to cause Injury,Assault,NT Balance,Elsey,Remote,,No,Yes,Historical / PROMIS,March 2024 historical extract,False,,1
2008-01,2008,1,Assault & Violence,Acts intended to cause Injury,Assault,NT Balance,Elsey,Remote,,Yes,No,Historical / PROMIS,March 2024 historical extract,False,,1
2008-01,2008,1,Assault & Violence,Acts intended to cause Injury,Assault,NT Balance,Elsey,Remote,,Yes,Yes,Historical / PROMIS,March 2024 historical extract,False,,3
2008-01,2008,1,Commercial B&E,Commercial break-ins,Commercial break-ins actual,NT Balance,Elsey,Remote,,-,-,Historical / PROMIS,March 2024 historical extract,False,,3
2008-01,2008,1,General Theft,Theft and related offences (other than MV),Theft and related offences (other than MV),NT Balance,Elsey,Remote,,-,-,Historical / PROMIS,March 2024 historical extract,False,,2
2008-01,2008,1,Property Damage,Property Damage Offences,Property damage offences,NT Balance,Elsey,Remote,,-,-,Historical / PROMIS,March 2024 historical extract,False,,1
2008-01,2008,1,Residential B&E,House break-ins,House break-ins actual,NT Balance,Elsey,Remote,,-,-,Historical / PROMIS,March 2024 historical extract,False,,1
2008-01,2008,1,Assault & Violence,Acts intended to cause Injury,Assault,NT Balance,Gulf,Remote,,No,No,Historical / PROMIS,March 2024 historical extract,False,,2
2008-01,2008,1,Assault & Violence,Acts intended to cause Injury,Assault,NT Balance,Gulf,Remote,,No,Yes,Historical / PROMIS,March 2024 historical extract,False,,6
2008-01,2008,1,Assault & Violence,Acts intended to cause Injury,Assault,NT Balance,Gulf,Remote,,Yes,No,Historical / PROMIS,March 2024 historical extract,False,,1
2008-01,2008,1,Assault & Violence,Acts intended to cause Injury,Assault,NT Balance,Gulf,Remote,,Yes,Yes,Historical / PROMIS,March 2024 historical extract,False,,3
2008-01,2008,1,Commercial B&E,Commercial break-ins,Commercial break-ins actual,NT Balance,Gulf,Remote,,-,-,Historical / PROMIS,March 2024 historical extract,False,,6
2008-01,2008,1,Commercial B&E,Commercial break-ins,Commercial break-ins attempted,NT Balance,Gulf,Remote,,-,-,Historical / PROMIS,March 2024 historical extract,False,,2
2008-01,2008,1,General Theft,Motor vehicle theft and related offences,Illegal use of a motor vehicle,NT Balance,Gulf,Remote,,-,-,Historical / PROMIS,March 2024 historical extract,False,,1
2008-01,2008,1,General Theft,Theft and related offences (other than MV),Theft and related offences (other than MV),NT Balance,Gulf,Remote,,-,-,Historical / PROMIS,March 2024 historical extract,False,,5
2008-01,2008,1,Property Damage,Property Damage Offences,Property damage offences,NT Balance,Gulf,Remote,,-,-,Historical / PROMIS,March 2024 historical extract,False,,7
2008-01,2008,1,Residential B&E,House break-ins,House break-ins actual,NT Balance,Gulf,Remote,,-,-,Historical / PROMIS,March 2024 historical extract,False,,2
2008-01,2008,1,Sexual Offences,Sexual assault and related offences,Non-assaultive sexual offences,NT Balance,Gulf,Remote,,-,-,Historical / PROMIS,March 2024 historical extract,False,,1
2008-01,2008,1,Sexual Offences,Sexual assault and related offences,Sexual assault,NT Balance,Gulf,Remote,,-,-,Historical / PROMIS,March 2024 historical extract,False,,1
2008-01,2008,1,Commercial B&E,Commercial break-ins,Commercial break-ins actual,NT Balance,Howard Springs,Remote,,-,-,Historical / PROMIS,March 2024 historical extract,False,,1
2008-01,2008,1,General Theft,Theft and related offences (other than MV),Theft and related offences (other than MV),NT Balance,Howard Springs,Remote,,-,-,Historical / PROMIS,March 2024 historical extract,False,,6
2008-01,2008,1,General Theft,Motor vehicle theft and related offences,Theft of motor vehicle parts or contents,NT Balance,Howard Springs,Remote,,-,-,Historical / PROMIS,March 2024 historical extract,False,,1
2008-01,2008,1,Property Damage,Property Damage Offences,Property damage offences,NT Balance,Howard Springs,Remote,,-,-,Historical / PROMIS,March 2024 historical extract,False,,2
2008-01,2008,1,Residential B&E,House break-ins,House break-ins actual,NT Balance,Howard Springs,Remote,,-,-,Historical / PROMIS,March 2024 historical extract,False,,3
2008-01,2008,1,Assault & Violence,Acts intended to cause Injury,Assault,NT Balance,Humpty Doo,Remote,,Yes,Yes,Historical / PROMIS,March 2024 historical extract,False,,1
2008-01,2008,1,Assault & Violence,Acts intended to cause Injury,Other acts intended to cause injury,NT Balance,Humpty Doo,Remote,,-,-,Historical / PROMIS,March 2024 historical extract,False,,1
2008-01,2008,1,General Theft,Motor vehicle theft and related offences,Illegal use of a motor vehicle,NT Balance,Humpty Doo,Remote,,-,-,Historical / PROMIS,March 2024 historical extract,False,,1
2008-01,2008,1,General Theft,Theft and related offences (other than MV),Theft and related offences (other than MV),NT Balance,Humpty Doo,Remote,,-,-,Historical / PROMIS,March 2024 historical extract,False,,5
2008-01,2008,1,Property Damage,Property Damage Offences,Property damage offences,NT Balance,Humpty Doo,Remote,,-,-,Historical / PROMIS,March 2024 historical extract,False,,9
2008-01,2008,1,Residential B&E,House break-ins,House break-ins actual,NT Balance,Humpty Doo,Remote,,-,-,Historical / PROMIS,March 2024 historical extract,False,,2
2008-01,2008,1,Assault & Violence,Acts intended to cause Injury,Assault,Katherine,Katherine,Regional,,No,No,Historical / PROMIS,March 2024 historical extract,False,,3
2008-01,2008,1,Assault & Violence,Acts intended to cause Injury,Assault,Katherine,Katherine,Regional,,No,Yes,Historical / PROMIS,March 2024 historical extract,False,,8
2008-01,2008,1,Assault & Violence,Acts intended to cause Injury,Assault,Katherine,Katherine,Regional,,Yes,No,Historical / PROMIS,March 2024 historical extract,False,,19
2008-01,2008,1,Assault & Violence,Acts intended to cause Injury,Assault,Katherine,Katherine,Regional,,Yes,Yes,Historical / PROMIS,March 2024 historical extract,False,,16
2008-01,2008,1,Commercial B&E,Commercial break-ins,Commercial break-ins actual,Katherine,Katherine,Regional,,-,-,Historical / PROMIS,March 2024 historical extract,False,,12
2008-01,2008,1,Commercial B&E,Commercial break-ins,Commercial break-ins attempted,Katherine,Katherine,Regional,,-,-,Historical / PROMIS,March 2024 historical extract,False,,3
2008-01,2008,1,General Theft,Motor vehicle theft and related offences,Illegal use of a motor vehicle,Katherine,Katherine,Regional,,-,-,Historical / PROMIS,March 2024 historical extract,False,,3
2008-01,2008,1,General Theft,Theft and related offences (other than MV),Theft and related offences (other than MV),Katherine,Katherine,Regional,,-,-,Historical / PROMIS,March 2024 historical extract,False,,45
2008-01,2008,1,General Theft,Motor vehicle theft and related offences,Theft of motor vehicle parts or contents,Katherine,Katherine,Regional,,-,-,Historical / PROMIS,March 2024 historical extract,False,,7
2008-01,2008,1,Harassment & Threats,Abduction - harassment and other offences against the person,Threatening behaviour,Katherine,Katherine,Regional,,-,-,Historical / PROMIS,March 2024 historical extract,False,,1
2008-01,2008,1,Property Damage,Property Damage Offences,Property damage offences,Katherine,Katherine,Regional,,-,-,Historical / PROMIS,March 2024 historical extract,False,,47
2008-01,2008,1,Residential B&E,House break-ins,House break-ins actual,Katherine,Katherine,Regional,,-,-,Historical / PROMIS,March 2024 historical extract,False,,4
2008-01,2008,1,Robbery & Extortion,Robbery - extortion and related offences,Robbery,Katherine,Katherine,Regional,,-,-,Historical / PROMIS,March 2024 historical extract,False,,1
2008-01,2008,1,Assault & Violence,Acts intended to cause Injury,Assault,Nhulunbuy,Nhulunbuy,Remote,,No,No,Historical / PROMIS,March 2024 historical extract,False,,1
2008-01,2008,1,Assault & Violence,Acts intended to cause Injury,Assault,Nhulunbuy,Nhulunbuy,Remote,,Yes,No,Historical / PROMIS,March 2024 historical extract,False,,1
2008-01,2008,1,Assault & Violence,Acts intended to cause Injury,Assault,Nhulunbuy,Nhulunbuy,Remote,,Yes,Yes,Historical / PROMIS,March 2024 historical extract,False,,3
2008-01,2008,1,Commercial B&E,Commercial break-ins,Commercial break-ins actual,Nhulunbuy,Nhulunbuy,Remote,,-,-,Historical / PROMIS,March 2024 historical extract,False,,2
2008-01,2008,1,General Theft,Motor vehicle theft and related offences,Illegal use of a motor vehicle,Nhulunbuy,Nhulunbuy,Remote,,-,-,Historical / PROMIS,March 2024 historical extract,False,,1
2008-01,2008,1,General Theft,Theft and related offences (other than MV),Theft and related offences (other than MV),Nhulunbuy,Nhulunbuy,Remote,,-,-,Historical / PROMIS,March 2024 historical extract,False,,11
2008-01,2008,1,Harassment & Threats,Other dangerous or negligent acts endangering persons,Other dangerous or negligent acts endangering persons,Nhulunbuy,Nhulunbuy,Remote,,-,-,Historical / PROMIS,March 2024 historical extract,False,,1
2008-01,2008,1,Harassment & Threats,Abduction - harassment and other offences against the person,Threatening behaviour,Nhulunbuy,Nhulunbuy,Remote,,-,-,Historical / PROMIS,March 2024 historical extract,False,,1
2008-01,2008,1,Property Damage,Property Damage Offences,Property damage offences,Nhulunbuy,Nhulunbuy,Remote,,-,-,Historical / PROMIS,March 2024 historical extract,False,,13
2008-01,2008,1,Residential B&E,House break-ins,House break-ins actual,Nhulunbuy,Nhulunbuy,Remote,,-,-,Historical / PROMIS,March 2024 historical extract,False,,2
2008-01,2008,1,Sexual Offences,Sexual assault and related offences,Sexual assault,Nhulunbuy,Nhulunbuy,Remote,,-,-,Historical / PROMIS,March 2024 historical extract,False,,1
2008-01,2008,1,Assault & Violence,Acts intended to cause Injury,Assault,Palmerston,Palmerston,Urban,,No,No,Historical / PROMIS,March 2024 historical extract,False,,6
2008-01,2008,1,Assault & Violence,Acts intended to cause Injury,Assault,Palmerston,Palmerston,Urban,,No,Yes,Historical / PROMIS,March 2024 historical extract,False,,3
2008-01,2008,1,Assault & Violence,Acts intended to cause Injury,Assault,Palmerston,Palmerston,Urban,,Yes,No,Historical / PROMIS,March 2024 historical extract,False,,5
2008-01,2008,1,Assault & Violence,Acts intended to cause Injury,Assault,Palmerston,Palmerston,Urban,,Yes,Yes,Historical / PROMIS,March 2024 historical extract,False,,6
2008-01,2008,1,Commercial B&E,Commercial break-ins,Commercial break-ins actual,Palmerston,Palmerston,Urban,,-,-,Historical / PROMIS,March 2024 historical extract,False,,12
2008-01,2008,1,Commercial B&E,Commercial break-ins,Commercial break-ins attempted,Palmerston,Palmerston,Urban,,-,-,Historical / PROMIS,March 2024 historical extract,False,,2
2008-01,2008,1,General Theft,Motor vehicle theft and related offences,Illegal use of a motor vehicle,Palmerston,Palmerston,Urban,,-,-,Historical / PROMIS,March 2024 historical extract,False,,9
2008-01,2008,1,General Theft,Theft and related offences (other than MV),Theft and related offences (other than MV),Palmerston,Palmerston,Urban,,-,-,Historical / PROMIS,March 2024 historical extract,False,,94
2008-01,2008,1,General Theft,Motor vehicle theft and related offences,Theft of motor vehicle parts or contents,Palmerston,Palmerston,Urban,,-,-,Historical / PROMIS,March 2024 historical extract,False,,26
2008-01,2008,1,Harassment & Threats,Abduction - harassment and other offences against the person,Harassment and private nuisance,Palmerston,Palmerston,Urban,,-,-,Historical / PROMIS,March 2024 historical extract,False,,2
2008-01,2008,1,Harassment & Threats,Abduction - harassment and other offences against the person,Threatening behaviour,Palmerston,Palmerston,Urban,,-,-,Historical / PROMIS,March 2024 historical extract,False,,4
2008-01,2008,1,Property Damage,Property Damage Offences,Property damage offences,Palmerston,Palmerston,Urban,,-,-,Historical / PROMIS,March 2024 historical extract,False,,118
2008-01,2008,1,Residential B&E,House break-ins,House break-ins actual,Palmerston,Palmerston,Urban,,-,-,Historical / PROMIS,March 2024 historical extract,False,,18
2008-01,2008,1,Residential B&E,House break-ins,House break-ins attempted,Palmerston,Palmerston,Urban,,-,-,Historical / PROMIS,March 2024 historical extract,False,,4
2008-01,2008,1,Robbery & Extortion,Robbery - extortion and related offences,Robbery,Palmerston,Palmerston,Urban,,-,-,Historical / PROMIS,March 2024 historical extract,False,,1
2008-01,2008,1,Sexual Offences,Sexual assault and related offences,Non-assaultive sexual offences,Palmerston,Palmerston,Urban,,-,-,Historical / PROMIS,March 2024 historical extract,False,,1
2008-01,2008,1,Sexual Offences,Sexual assault and related offences,Sexual assault,Palmerston,Palmerston,Urban,,-,-,Historical / PROMIS,March 2024 historical extract,False,,7
2008-01,2008,1,Assault & Violence,Acts intended to cause Injury,Assault,NT Balance,Petermann - Simpson,Remote,,Yes,No,Historical / PROMIS,March 2024 historical extract,False,,2
2008-01,2008,1,Assault & Violence,Acts intended to cause Injury,Assault,NT Balance,Petermann - Simpson,Remote,,Yes,Yes,Historical / PROMIS,March 2024 historical extract,False,,1
2008-01,2008,1,Commercial B&E,Commercial break-ins,Commercial break-ins actual,NT Balance,Petermann - Simpson,Remote,,-,-,Historical / PROMIS,March 2024 historical extract,False,,1
2008-01,2008,1,General Theft,Theft and related offences (other than MV),Theft and related offences (other than MV),NT Balance,Petermann - Simpson,Remote,,-,-,Historical / PROMIS,March 2024 historical extract,False,,4
2008-01,2008,1,General Theft,Motor vehicle theft and related offences,Theft of motor vehicle parts or contents,NT Balance,Petermann - Simpson,Remote,,-,-,Historical / PROMIS,March 2024 historical extract,False,,2
2008-01,2008,1,Property Damage,Property Damage Offences,Property damage offences,NT Balance,Petermann - Simpson,Remote,,-,-,Historical / PROMIS,March 2024 historical extract,False,,8
2008-01,2008,1,Assault & Violence,Acts intended to cause Injury,Assault,NT Balance,Sandover - Plenty,Remote,,No,No,Historical / PROMIS,March 2024 historical extract,False,,2
2008-01,2008,1,Assault & Violence,Acts intended to cause Injury,Assault,NT Balance,Sandover - Plenty,Remote,,Yes,No,Historical / PROMIS,March 2024 historical extract,False,,2
2008-01,2008,1,Assault & Violence,Acts intended to cause Injury,Assault,NT Balance,Sandover - Plenty,Remote,,Yes,Yes,Historical / PROMIS,March 2024 historical extract,False,,2
2008-01,2008,1,General Theft,Theft and related offences (other than MV),Theft and related offences (other than MV),NT Balance,Sandover - Plenty,Remote,,-,-,Historical / PROMIS,March 2024 historical extract,False,,1
2008-01,2008,1,Residential B&E,House break-ins,House break-ins actual,NT Balance,Sandover - Plenty,Remote,,-,-,Historical / PROMIS,March 2024 historical extract,False,,1
