As At,Year,Month number,Offence category,Offence type,Alcohol involvement,DV involvement,Reporting region,Statistical Area 2,Number of offences
2/04/2024,2014,1,Abduction - harassment and other offences against the person,Deprivation of liberty /false imprisonment,-,-,Alice Springs,,1
2/04/2024,2014,1,Abduction - harassment and other offences against the person,Deprivation of liberty /false imprisonment,-,-,Katherine,,1
2/04/2024,2014,1,Abduction - harassment and other offences against the person,Deprivation of liberty /false imprisonment,-,-,NT Balance,Humpty Doo,1
2/04/2024,2014,1,Abduction - harassment and other offences against the person,Deprivation of liberty /false imprisonment,-,-,Palmerston,,3
2/04/2024,2014,1,Abduction - harassment and other offences against the person,Harassment and private nuisance,-,-,Alice Springs,,1
2/04/2024,2014,1,Abduction - harassment and other offences against the person,Harassment and private nuisance,-,-,Darwin,,1
2/04/2024,2014,1,Abduction - harassment and other offences against the person,Harassment and private nuisance,-,-,Nhulunbuy,,1
2/04/2024,2014,1,Abduction - harassment and other offences against the person,Harassment and private nuisance,-,-,NT Balance,East Arnhem,1
2/04/2024,2014,1,Abduction - harassment and other offences against the person,Harassment and private nuisance,-,-,NT Balance,Tanami,1
2/04/2024,2014,1,Abduction - harassment and other offences against the person,Harassment and private nuisance,-,-,NT Balance,Victoria River,1
2/04/2024,2014,1,Abduction - harassment and other offences against the person,Harassment and private nuisance,-,-,Palmerston,,1
2/04/2024,2014,1,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,Alice Springs,,6
2/04/2024,2014,1,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,Darwin,,7
2/04/2024,2014,1,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,Katherine,,2
2/04/2024,2014,1,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,NT Balance,Barkly,2
2/04/2024,2014,1,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,NT Balance,Daly,2
2/04/2024,2014,1,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,NT Balance,East Arnhem,1
2/04/2024,2014,1,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,NT Balance,Gulf,2
2/04/2024,2014,1,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,NT Balance,Humpty Doo,1
2/04/2024,2014,1,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,NT Balance,Sandover - Plenty,1
2/04/2024,2014,1,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,NT Balance,West Arnhem,2
2/04/2024,2014,1,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,Palmerston,,1
2/04/2024,2014,1,Acts intended to cause Injury,Assault,No,No,Alice Springs,,26
2/04/2024,2014,1,Acts intended to cause Injury,Assault,No,No,Darwin,,33
2/04/2024,2014,1,Acts intended to cause Injury,Assault,No,No,Katherine,,4
2/04/2024,2014,1,Acts intended to cause Injury,Assault,No,No,NT Balance,Alligator,2
2/04/2024,2014,1,Acts intended to cause Injury,Assault,No,No,NT Balance,Anindilyakwa,3
2/04/2024,2014,1,Acts intended to cause Injury,Assault,No,No,NT Balance,Barkly,1
2/04/2024,2014,1,Acts intended to cause Injury,Assault,No,No,NT Balance,East Arnhem,5
2/04/2024,2014,1,Acts intended to cause Injury,Assault,No,No,NT Balance,Howard Springs,1
2/04/2024,2014,1,Acts intended to cause Injury,Assault,No,No,NT Balance,Humpty Doo,1
2/04/2024,2014,1,Acts intended to cause Injury,Assault,No,No,NT Balance,Petermann - Simpson,1
2/04/2024,2014,1,Acts intended to cause Injury,Assault,No,No,NT Balance,Sandover - Plenty,3
2/04/2024,2014,1,Acts intended to cause Injury,Assault,No,No,NT Balance,Tanami,2
2/04/2024,2014,1,Acts intended to cause Injury,Assault,No,No,NT Balance,Thamarrurr,1
2/04/2024,2014,1,Acts intended to cause Injury,Assault,No,No,NT Balance,Tiwi Islands,1
2/04/2024,2014,1,Acts intended to cause Injury,Assault,No,No,NT Balance,Victoria River,3
2/04/2024,2014,1,Acts intended to cause Injury,Assault,No,No,NT Balance,West Arnhem,4
2/04/2024,2014,1,Acts intended to cause Injury,Assault,No,No,NT Balance,Yuendumu - Anmatjere,5
2/04/2024,2014,1,Acts intended to cause Injury,Assault,No,No,Palmerston,,7
2/04/2024,2014,1,Acts intended to cause Injury,Assault,No,Yes,Alice Springs,,18
2/04/2024,2014,1,Acts intended to cause Injury,Assault,No,Yes,Darwin,,27
2/04/2024,2014,1,Acts intended to cause Injury,Assault,No,Yes,Katherine,,6
2/04/2024,2014,1,Acts intended to cause Injury,Assault,No,Yes,Nhulunbuy,,1
2/04/2024,2014,1,Acts intended to cause Injury,Assault,No,Yes,NT Balance,Anindilyakwa,5
2/04/2024,2014,1,Acts intended to cause Injury,Assault,No,Yes,NT Balance,Barkly,2
2/04/2024,2014,1,Acts intended to cause Injury,Assault,No,Yes,NT Balance,East Arnhem,13
2/04/2024,2014,1,Acts intended to cause Injury,Assault,No,Yes,NT Balance,Elsey,3
2/04/2024,2014,1,Acts intended to cause Injury,Assault,No,Yes,NT Balance,Gulf,4
2/04/2024,2014,1,Acts intended to cause Injury,Assault,No,Yes,NT Balance,Humpty Doo,1
2/04/2024,2014,1,Acts intended to cause Injury,Assault,No,Yes,NT Balance,Petermann - Simpson,4
2/04/2024,2014,1,Acts intended to cause Injury,Assault,No,Yes,NT Balance,Sandover - Plenty,2
2/04/2024,2014,1,Acts intended to cause Injury,Assault,No,Yes,NT Balance,Tanami,3
2/04/2024,2014,1,Acts intended to cause Injury,Assault,No,Yes,NT Balance,Thamarrurr,13
2/04/2024,2014,1,Acts intended to cause Injury,Assault,No,Yes,NT Balance,Tiwi Islands,5
2/04/2024,2014,1,Acts intended to cause Injury,Assault,No,Yes,NT Balance,Victoria River,6
2/04/2024,2014,1,Acts intended to cause Injury,Assault,No,Yes,NT Balance,West Arnhem,4
2/04/2024,2014,1,Acts intended to cause Injury,Assault,No,Yes,NT Balance,Yuendumu - Anmatjere,4
2/04/2024,2014,1,Acts intended to cause Injury,Assault,No,Yes,Palmerston,,9
2/04/2024,2014,1,Acts intended to cause Injury,Assault,No,Yes,Tennant Creek,,5
2/04/2024,2014,1,Acts intended to cause Injury,Assault,Yes,No,Alice Springs,,34
2/04/2024,2014,1,Acts intended to cause Injury,Assault,Yes,No,Darwin,,40
2/04/2024,2014,1,Acts intended to cause Injury,Assault,Yes,No,Katherine,,15
2/04/2024,2014,1,Acts intended to cause Injury,Assault,Yes,No,Nhulunbuy,,3
2/04/2024,2014,1,Acts intended to cause Injury,Assault,Yes,No,NT Balance,Alligator,4
2/04/2024,2014,1,Acts intended to cause Injury,Assault,Yes,No,NT Balance,Anindilyakwa,1
2/04/2024,2014,1,Acts intended to cause Injury,Assault,Yes,No,NT Balance,East Arnhem,1
2/04/2024,2014,1,Acts intended to cause Injury,Assault,Yes,No,NT Balance,Elsey,1
2/04/2024,2014,1,Acts intended to cause Injury,Assault,Yes,No,NT Balance,Petermann - Simpson,1
2/04/2024,2014,1,Acts intended to cause Injury,Assault,Yes,No,NT Balance,Sandover - Plenty,1
2/04/2024,2014,1,Acts intended to cause Injury,Assault,Yes,No,NT Balance,Tiwi Islands,1
2/04/2024,2014,1,Acts intended to cause Injury,Assault,Yes,No,NT Balance,Weddell,1
2/04/2024,2014,1,Acts intended to cause Injury,Assault,Yes,No,Palmerston,,3
2/04/2024,2014,1,Acts intended to cause Injury,Assault,Yes,No,Tennant Creek,,14
2/04/2024,2014,1,Acts intended to cause Injury,Assault,Yes,Yes,Alice Springs,,71
2/04/2024,2014,1,Acts intended to cause Injury,Assault,Yes,Yes,Darwin,,41
2/04/2024,2014,1,Acts intended to cause Injury,Assault,Yes,Yes,Katherine,,26
2/04/2024,2014,1,Acts intended to cause Injury,Assault,Yes,Yes,Nhulunbuy,,6
2/04/2024,2014,1,Acts intended to cause Injury,Assault,Yes,Yes,NT Balance,Alligator,2
2/04/2024,2014,1,Acts intended to cause Injury,Assault,Yes,Yes,NT Balance,Anindilyakwa,1
2/04/2024,2014,1,Acts intended to cause Injury,Assault,Yes,Yes,NT Balance,Barkly,6
2/04/2024,2014,1,Acts intended to cause Injury,Assault,Yes,Yes,NT Balance,Daly,1
2/04/2024,2014,1,Acts intended to cause Injury,Assault,Yes,Yes,NT Balance,East Arnhem,4
2/04/2024,2014,1,Acts intended to cause Injury,Assault,Yes,Yes,NT Balance,Elsey,2
2/04/2024,2014,1,Acts intended to cause Injury,Assault,Yes,Yes,NT Balance,Gulf,2
2/04/2024,2014,1,Acts intended to cause Injury,Assault,Yes,Yes,NT Balance,Humpty Doo,3
2/04/2024,2014,1,Acts intended to cause Injury,Assault,Yes,Yes,NT Balance,Petermann - Simpson,5
2/04/2024,2014,1,Acts intended to cause Injury,Assault,Yes,Yes,NT Balance,Sandover - Plenty,3
2/04/2024,2014,1,Acts intended to cause Injury,Assault,Yes,Yes,NT Balance,Tanami,4
2/04/2024,2014,1,Acts intended to cause Injury,Assault,Yes,Yes,NT Balance,Thamarrurr,3
2/04/2024,2014,1,Acts intended to cause Injury,Assault,Yes,Yes,NT Balance,Tiwi Islands,4
2/04/2024,2014,1,Acts intended to cause Injury,Assault,Yes,Yes,NT Balance,Victoria River,3
2/04/2024,2014,1,Acts intended to cause Injury,Assault,Yes,Yes,NT Balance,Weddell,1
2/04/2024,2014,1,Acts intended to cause Injury,Assault,Yes,Yes,NT Balance,Yuendumu - Anmatjere,3
2/04/2024,2014,1,Acts intended to cause Injury,Assault,Yes,Yes,Palmerston,,18
2/04/2024,2014,1,Acts intended to cause Injury,Assault,Yes,Yes,Tennant Creek,,32
2/04/2024,2014,1,Acts intended to cause Injury,Other acts intended to cause injury,-,-,NT Balance,Petermann - Simpson,1
2/04/2024,2014,1,Commercial break-ins,Commercial break-ins actual,-,-,Alice Springs,,17
2/04/2024,2014,1,Commercial break-ins,Commercial break-ins actual,-,-,Darwin,,34
2/04/2024,2014,1,Commercial break-ins,Commercial break-ins actual,-,-,Katherine,,15
2/04/2024,2014,1,Commercial break-ins,Commercial break-ins actual,-,-,Nhulunbuy,,5
2/04/2024,2014,1,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,Anindilyakwa,4
2/04/2024,2014,1,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,Barkly,2
2/04/2024,2014,1,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,Daly,1
2/04/2024,2014,1,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,East Arnhem,8
2/04/2024,2014,1,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,Elsey,1
2/04/2024,2014,1,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,Gulf,5
2/04/2024,2014,1,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,Petermann - Simpson,2
2/04/2024,2014,1,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,Sandover - Plenty,3
2/04/2024,2014,1,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,Tanami,5
2/04/2024,2014,1,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,Thamarrurr,11
2/04/2024,2014,1,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,Tiwi Islands,1
2/04/2024,2014,1,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,Victoria River,5
2/04/2024,2014,1,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,West Arnhem,5
2/04/2024,2014,1,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,Yuendumu - Anmatjere,22
2/04/2024,2014,1,Commercial break-ins,Commercial break-ins actual,-,-,Palmerston,,7
2/04/2024,2014,1,Commercial break-ins,Commercial break-ins actual,-,-,Tennant Creek,,9
2/04/2024,2014,1,Commercial break-ins,Commercial break-ins attempted,-,-,Alice Springs,,3
2/04/2024,2014,1,Commercial break-ins,Commercial break-ins attempted,-,-,Darwin,,3
2/04/2024,2014,1,Commercial break-ins,Commercial break-ins attempted,-,-,Katherine,,3
2/04/2024,2014,1,Commercial break-ins,Commercial break-ins attempted,-,-,NT Balance,Alligator,1
2/04/2024,2014,1,Commercial break-ins,Commercial break-ins attempted,-,-,NT Balance,Thamarrurr,2
2/04/2024,2014,1,Commercial break-ins,Commercial break-ins attempted,-,-,NT Balance,Victoria River,1
2/04/2024,2014,1,Commercial break-ins,Commercial break-ins attempted,-,-,Tennant Creek,,1
2/04/2024,2014,1,Homicide and related Offences,Murder,-,-,Alice Springs,,1
2/04/2024,2014,1,House break-ins,House break-ins actual,-,-,Alice Springs,,40
